name,transit_score,bu_distance_miles
Roslindale,2,4.82
Jamaica Plain,23,2.99
Mission Hill,43,1.3
Longwood,38,0.82
Bay Village,41,1.86
Leather District,33,2.44
Chinatown,43,2.24
North End,25,2.83
Roxbury,45,2.41
South End,51,1.85
Back Bay,57,1.27
East Boston,33,4.84
Charlestown,23,2.91
West End,29,2.26
Beacon Hill,41,1.95
Downtown,47,2.47
Fenway,53,0.62
Brighton,27,2.54
West Roxbury,1,5.58
Hyde Park,3,6.68
Mattapan,10,5.12
Dorchester,30,4.19
South Boston Waterfront,44,3.27
South Boston,55,3.29
Allston,35,1.31
Harbor Islands,0,7.17
